species,catalog,catalog_id,p,N,matches_checked,FR,FA,cost
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,40,0.008591065,0,820
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,45,0.006872852,0,842
killer_whale,Killer-Whales-SW-Australia,killer_whale-1,0.559313729,130,50,0.006872852,0,862
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,1,0,0.053475936,187
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,5,0.021390374,0,214
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,10,0.021390374,0,234
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,15,0.021390374,0,254
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,20,0.021390374,0,274
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,25,0.021390374,0,294
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,30,0.021390374,0,314
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,35,0.021390374,0,334
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,40,0.021390374,0,354
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,45,0.021390374,0,374
long_finned_pilot_whale,long-finned pilot whale-auckland-uni,long_finned_pilot_whale-0,0.41021785,319,50,0.021390374,0,394
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,1,0.017485429,0.092422981,1201
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,5,0.007493755,0,1378
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,10,0.005828476,0,1421
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,15,0.005828476,0,1456
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,20,0.004995837,0,1489
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,25,0.004995837,0,1519
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,30,0.004995837,0,1549
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,35,0.004163197,0,1577
melon_headed_whale,Melon-headed Whales-Cascadia,melon_headed_whale-0,0.401595897,3294,40,0.004163197,0,1602
